Measurement,Well,Group,Time,OCR,ECAR,PPR,Cell Number,
2,C09,L_T40,8.28,104.68,88.42,157.24,2,
2,C10,ND_T40,8.28,59.66,69.04,122.78,1.88125,
2,C11,ND_T40,8.28,35.36,36.47,64.85,1.33984375,
2,C12,Background,8.28,0.00,0.00,0.00,,
2,D01,L_T,8.28,27.27,8.09,14.39,7,
2,D02,L_T,8.28,32.94,10.37,18.45,7,
2,D03,ND_PBMC,8.28,68.27,36.71,65.28,7,
2,D04,ND_PBMC,8.28,79.97,25.40,45.18,7,
2,D05,T2D_PBMC,8.28,86.49,24.85,44.19,7,
2,D06,ND_T,8.28,38.49,8.27,14.71,5.668478269,
2,D07,ND_T,8.28,34.10,6.34,11.27,5.516343478,
2,D08,SVC006,8.28,8.36,2.17,3.86,1.533972233,
2,D09,L_T40,8.28,105.48,89.83,159.75,2,
2,D10,ND_T40,8.28,67.98,75.98,135.12,1.88125,
2,D11,ND_T40,8.28,33.44,48.72,86.65,1.33984375,
2,D12,Background,8.28,0.00,0.00,0.00,,
2,E01,L_T,8.28,32.27,10.28,18.28,7,
2,E02,L_T,8.28,28.56,10.32,18.35,7,
2,E03,ND_PBMC,8.28,72.90,24.73,43.98,7,
2,E04,ND_PBMC,8.28,62.84,25.51,45.37,7,
2,E05,ND_T,8.28,43.22,16.78,29.84,7,
2,E06,ND_T,8.28,81.72,23.99,42.66,6.125,
2,E07,T2D_T,8.28,45.80,16.92,30.08,7,
2,E08,SVC007,8.28,13.40,6.77,12.05,0.608695652,
2,E09,ND_T40,8.28,39.75,62.60,111.32,2,
2,E10,ND_T40,8.28,44.18,68.19,121.26,2,
2,E11,T2D_T40,8.28,34.21,50.03,88.97,2,
2,E12,Background,8.28,0.00,0.00,0.00,,
2,F01,Background,8.28,0.00,0.00,0.00,,
2,F02,SVC002,8.28,65.36,20.17,35.86,47.03125,
2,F03,ND_PBMC,8.28,73.96,28.01,49.82,7,
2,F04,ND_PBMC,8.28,53.51,30.57,54.36,7,
2,F05,ND_T,8.28,35.89,20.69,36.80,7,
2,F06,ND_T,8.28,79.87,22.68,40.33,6.125,
2,F07,T2D_T,8.28,45.16,17.47,31.06,7,
2,F08,SVC007,8.28,10.68,7.41,13.19,6.218695652,
2,F09,ND_T40,8.28,49.27,65.31,116.15,2,
2,F10,ND_T40,8.28,43.87,62.93,111.92,2,
2,F11,T2D_T40,8.28,-8.50,50.45,89.72,2,
2,F12,Background,8.28,0.00,0.00,0.00,,
2,G01,Background,8.28,0.00,0.00,0.00,,
2,G02,SVC003,8.28,19.24,7.42,13.19,36.09375,
2,G03,ND_PBMC,8.28,64.68,23.96,42.61,7,
2,G04,ND_PBMC,8.28,49.84,24.26,43.15,7,
2,G05,ND_T,8.28,40.35,18.87,33.55,7,
2,G06,ND_T,8.28,84.25,25.36,45.11,6.125,
2,G07,T2D_T,8.28,46.22,15.14,26.93,7,
2,G08,SVC007,8.28,18.41,8.08,14.37,6.218695652,
2,G09,ND_T40,8.28,46.30,73.56,130.81,2,
2,G10,ND_T40,8.28,43.16,66.56,118.37,2,
2,G11,T2D_T40,8.28,34.62,64.46,114.64,2,
2,G12,Background,8.28,0.00,0.00,0.00,,
2,H01,Background,8.28,0.00,0.00,0.00,,
2,H02,Unassigned,8.28,-1.04,0.71,1.25,,
2,H03,ND_PBMC,8.28,67.27,23.62,42.01,7,
2,H04,ND_PBMC,8.28,45.14,23.66,42.07,7,
2,H05,ND_T,8.28,33.32,18.84,33.50,7,
2,H06,Unassigned,8.28,-1.81,0.91,1.62,,
2,H07,T2D_T,8.28,46.74,16.76,29.81,,
2,H08,Unassigned,8.28,-1.32,1.09,1.95,,
2,H09,ND_T40,8.28,43.65,63.11,112.23,2,
2,H10,ND_T40,8.28,44.91,74.35,132.22,2,
2,H11,Unassigned,8.28,-1.39,0.49,0.87,,
2,H12,Background,8.28,0.00,0.00,0.00,,
3,A01,Background,15.18,0.00,0.00,0.00,,
3,A02,Background,15.18,0.00,0.00,0.00,,
3,A03,ND_PBMC,15.18,60.62,28.65,50.94,7,
3,A04,ND_PBMC,15.18,66.82,21.53,38.29,7,
3,A05,T2D_PBMC,15.18,79.49,24.81,44.12,7,
3,A06,Unassigned,15.18,-1.76,0.65,1.16,,
3,A07,SVC006,15.18,12.84,1.84,3.28,1.533972233,
3,A08,SVC006,15.18,11.92,1.81,3.22,1.533972233,
3,A09,L_T40,15.18,89.48,70.54,125.45,2,
3,A10,Unassigned,15.18,1.34,0.02,0.03,,
3,A11,Unassigned,15.18,-21.50,-0.52,-0.92,,
3,A12,Background,15.18,0.00,0.00,0.00,,
3,B01,L_PBMC,15.18,49.18,16.52,29.38,7,
3,B02,L_PBMC,15.18,49.23,16.53,29.40,7,
3,B03,ND_PBMC,15.18,63.64,28.15,50.07,7,
3,B04,ND_PBMC,15.18,81.38,23.57,41.92,7,
3,B05,T2D_PBMC,15.18,102.50,28.80,51.22,7,
3,B06,ND_T,15.18,48.14,8.80,15.66,0.566847826,
3,B07,ND_T,15.18,31.13,5.45,9.69,0.551630435,
3,B08,SVC006,15.18,16.04,2.43,4.32,,
3,B09,L_T40,15.18,108.56,82.61,146.91,2,
3,B10,ND_T40,15.18,51.63,49.43,87.91,15.5875,
3,B11,T2D_T40,15.18,26.05,38.63,68.70,2,
3,B12,Background,15.18,0.00,0.00,0.00,,
3,C01,L_PBMC,15.18,51.80,21.04,37.42,7,
3,C02,L_PBMC,15.18,43.47,17.01,30.24,7,
3,C03,ND_PBMC,15.18,61.01,28.67,50.99,7,
3,C04,ND_PBMC,15.18,75.28,26.13,46.48,7,
3,C05,T2D_PBMC,15.18,99.75,32.75,58.25,7,
3,C06,ND_T,15.18,39.93,12.09,21.51,5.668478269,
3,C07,ND_T,15.18,25.98,5.72,10.17,5.516343478,
3,C08,SVC006,15.18,12.10,2.53,4.51,1.533972233,
3,C09,L_T40,15.18,104.50,87.19,155.06,2,
3,C10,ND_T40,15.18,59.11,70.63,125.60,1.88125,
3,C11,ND_T40,15.18,34.89,36.45,64.82,1.33984375,
3,C12,Background,15.18,0.00,0.00,0.00,,
3,D01,L_T,15.18,29.60,7.29,12.96,7,
3,D02,L_T,15.18,35.86,10.47,18.62,7,
3,D03,ND_PBMC,15.18,64.99,36.29,64.55,7,
3,D04,ND_PBMC,15.18,80.25,26.41,46.98,7,
3,D05,T2D_PBMC,15.18,87.24,27.16,48.30,7,
3,D06,ND_T,15.18,37.64,9.72,17.28,5.668478269,
3,D07,ND_T,15.18,33.74,7.47,13.28,5.516343478,
3,D08,SVC006,15.18,8.84,2.62,4.65,1.533972233,
3,D09,L_T40,15.18,104.13,86.74,154.26,2,
3,D10,ND_T40,15.18,66.23,73.71,131.09,1.88125,
3,D11,ND_T40,15.18,33.79,49.43,87.90,1.33984375,
3,D12,Background,15.18,0.00,0.00,0.00,,
3,E01,L_T,15.18,33.00,9.75,17.34,7,
3,E02,L_T,15.18,29.09,10.74,19.11,7,
3,E03,ND_PBMC,15.18,74.05,25.93,46.11,7,
3,E04,ND_PBMC,15.18,60.61,26.53,47.18,7,
3,E05,ND_T,15.18,42.92,17.37,30.89,7,
3,E06,ND_T,15.18,81.89,23.90,42.51,6.125,
3,E07,T2D_T,15.18,44.72,16.38,29.13,7,
3,E08,SVC007,15.18,14.57,7.18,12.76,0.913043478,
3,E09,ND_T40,15.18,40.77,63.58,113.07,2,
3,E10,ND_T40,15.18,42.96,68.57,121.94,2,
3,E11,T2D_T40,15.18,33.09,49.79,88.54,2,
3,E12,Background,15.18,0.00,0.00,0.00,,
3,F01,Background,15.18,0.00,0.00,0.00,,
3,F02,SVC002,15.18,64.21,19.80,35.21,47.03125,
3,F03,ND_PBMC,15.18,73.81,29.60,52.65,7,
3,F04,ND_PBMC,15.18,57.54,29.79,52.97,7,
3,F05,ND_T,15.18,37.19,20.10,35.74,7,
3,F06,ND_T,15.18,80.23,22.24,39.55,6.125,
3,F07,T2D_T,15.18,46.13,16.48,29.31,7,
3,F08,SVC007,15.18,8.82,7.29,12.97,6.218695652,
3,F09,ND_T40,15.18,48.80,67.61,120.24,2,
3,F10,ND_T40,15.18,42.47,62.91,111.88,2,
3,F11,T2D_T40,15.18,-10.22,50.76,90.27,2,
3,F12,Background,15.18,0.00,0.00,0.00,,
3,G01,Background,15.18,0.00,0.00,0.00,,
3,G02,SVC003,15.18,18.72,7.65,13.61,36.09375,
3,G03,ND_PBMC,15.18,65.50,24.61,43.77,7,
3,G04,ND_PBMC,15.18,49.64,24.18,43.00,7,
3,G05,ND_T,15.18,42.05,17.72,31.52,7,
3,G06,ND_T,15.18,86.31,25.28,44.95,6.125,
3,G07,T2D_T,15.18,45.91,14.74,26.21,7,
3,G08,SVC007,15.18,17.73,7.26,12.92,6.218695652,
3,G09,ND_T40,15.18,47.09,74.93,133.25,2,
3,G10,ND_T40,15.18,42.52,67.97,120.88,2,
3,G11,T2D_T40,15.18,35.23,65.91,117.22,2,
3,G12,Background,15.18,0.00,0.00,0.00,,
3,H01,Background,15.18,0.00,0.00,0.00,,
3,H02,Unassigned,15.18,-2.34,0.99,1.77,,
3,H03,ND_PBMC,15.18,69.05,23.64,42.04,7,
3,H04,ND_PBMC,15.18,44.61,22.67,40.32,7,
3,H05,ND_T,15.18,35.27,18.25,32.46,7,
3,H06,Unassigned,15.18,-0.15,0.68,1.20,,
3,H07,T2D_T,15.18,48.36,16.29,28.97,,
3,H08,Unassigned,15.18,-0.27,0.85,1.51,,
3,H09,ND_T40,15.18,44.59,63.79,113.44,2,
3,H10,ND_T40,15.18,43.80,75.37,134.05,2,
3,H11,Unassigned,15.18,-0.99,0.23,0.40,,
3,H12,Background,15.18,0.00,0.00,0.00,,
4,A01,Background,22.12,0.00,0.00,0.00,,
4,A02,Background,22.12,0.00,0.00,0.00,,
4,A03,ND_PBMC,22.12,59.64,29.48,52.42,7,
4,A04,ND_PBMC,22.12,66.59,19.38,34.46,7,
4,A05,T2D_PBMC,22.12,82.88,24.95,44.37,7,
4,A06,Unassigned,22.12,-0.07,0.60,1.07,,
4,A07,SVC006,22.12,12.42,1.63,2.90,1.533972233,
4,A08,SVC006,22.12,10.53,2.06,3.67,1.533972233,
4,A09,L_T40,22.12,90.97,69.90,124.31,2,
4,A10,Unassigned,22.12,0.95,0.08,0.14,,
4,A11,Unassigned,22.12,-21.73,-0.11,-0.19,,
4,A12,Background,22.12,0.00,0.00,0.00,,
4,B01,L_PBMC,22.12,51.27,16.55,29.43,7,
4,B02,L_PBMC,22.12,50.04,16.72,29.74,7,
4,B03,ND_PBMC,22.12,64.55,29.66,52.76,7,
4,B04,ND_PBMC,22.12,82.85,23.22,41.30,7,
4,B05,T2D_PBMC,22.12,103.09,29.95,53.26,7,
4,B06,ND_T,22.12,47.85,8.74,15.54,0.566847826,
4,B07,ND_T,22.12,31.54,5.62,10.00,0.551630435,
4,B08,SVC006,22.12,13.93,1.96,3.49,,
4,B09,L_T40,22.12,108.99,80.61,143.35,2,
4,B10,ND_T40,22.12,50.87,49.60,88.22,15.5875,
4,B11,T2D_T40,22.12,24.83,40.24,71.55,2,
4,B12,Background,22.12,0.00,0.00,0.00,,
4,C01,L_PBMC,22.12,53.26,19.88,35.36,7,
4,C02,L_PBMC,22.12,43.59,16.56,29.45,7,
4,C03,ND_PBMC,22.12,61.98,29.50,52.46,7,
4,C04,ND_PBMC,22.12,75.09,26.78,47.62,7,
4,C05,T2D_PBMC,22.12,101.28,33.08,58.82,7,
4,C06,ND_T,22.12,39.98,11.66,20.73,5.668478269,
4,C07,ND_T,22.12,25.62,5.64,10.03,5.516343478,
4,C08,SVC006,22.12,10.06,2.80,4.97,1.533972233,
4,C09,L_T40,22.12,104.50,83.08,147.75,2,
4,C10,ND_T40,22.12,59.49,69.54,123.66,1.88125,
4,C11,ND_T40,22.12,35.47,34.96,62.17,1.33984375,
4,C12,Background,22.12,0.00,0.00,0.00,,
4,D01,L_T,22.12,29.64,7.09,12.60,7,
4,D02,L_T,22.12,34.74,10.23,18.20,7,
4,D03,ND_PBMC,22.12,63.20,35.22,62.64,7,
4,D04,ND_PBMC,22.12,82.27,26.60,47.30,7,
4,D05,T2D_PBMC,22.12,88.89,27.61,49.11,7,
4,D06,ND_T,22.12,38.14,10.34,18.40,5.668478269,
4,D07,ND_T,22.12,32.92,6.98,12.40,5.516343478,
4,D08,SVC006,22.12,8.28,2.76,4.91,1.533972233,
4,D09,L_T40,22.12,105.62,83.76,148.96,2,
4,D10,ND_T40,22.12,67.98,70.96,126.20,1.88125,
4,D11,ND_T40,22.12,33.06,49.28,87.63,1.33984375,
4,D12,Background,22.12,0.00,0.00,0.00,,
4,E01,L_T,22.12,32.14,8.48,15.08,7,
4,E02,L_T,22.12,28.70,9.90,17.60,7,
4,E03,ND_PBMC,22.12,74.56,25.40,45.17,7,
4,E04,ND_PBMC,22.12,60.23,27.91,49.63,7,
4,E05,ND_T,22.12,42.75,16.69,29.68,7,
4,E06,ND_T,22.12,82.14,23.93,42.55,6.125,
4,E07,T2D_T,22.12,44.06,15.66,27.84,7,
4,E08,SVC007,22.12,13.41,7.13,12.68,1.217391304,
4,E09,ND_T40,22.12,40.70,64.68,115.02,2,
4,E10,ND_T40,22.12,43.42,67.97,120.87,2,
4,E11,T2D_T40,22.12,33.36,50.94,90.60,2,
4,E12,Background,22.12,0.00,0.00,0.00,,
4,F01,Background,22.12,0.00,0.00,0.00,,
4,F02,SVC002,22.12,63.56,18.71,33.27,47.03125,
4,F03,ND_PBMC,22.12,74.75,30.07,53.48,7,
4,F04,ND_PBMC,22.12,52.80,28.47,50.63,7,
4,F05,ND_T,22.12,36.72,19.55,34.77,7,
4,F06,ND_T,22.12,80.37,21.79,38.75,6.125,
4,F07,T2D_T,22.12,45.27,16.84,29.94,7,
4,F08,SVC007,22.12,9.51,7.46,13.27,6.218695652,
4,F09,ND_T40,22.12,48.39,68.43,121.70,2,
4,F10,ND_T40,22.12,42.51,62.25,110.70,2,
4,F11,T2D_T40,22.12,-11.07,51.67,91.89,2,
4,F12,Background,22.12,0.00,0.00,0.00,,
4,G01,Background,22.12,0.00,0.00,0.00,,
4,G02,SVC003,22.12,18.23,7.53,13.39,36.09375,
4,G03,ND_PBMC,22.12,64.04,24.40,43.38,7,
4,G04,ND_PBMC,22.12,49.25,24.33,43.27,7,
4,G05,ND_T,22.12,42.02,16.41,29.18,7,
4,G06,ND_T,22.12,85.36,24.98,44.43,6.125,
4,G07,T2D_T,22.12,46.12,13.86,24.65,7,
4,G08,SVC007,22.12,15.52,7.44,13.23,6.218695652,
4,G09,ND_T40,22.12,46.12,75.48,134.24,2,
4,G10,ND_T40,22.12,42.99,68.55,121.92,2,
4,G11,T2D_T40,22.12,36.23,66.06,117.49,2,
4,G12,Background,22.12,0.00,0.00,0.00,,
4,H01,Background,22.12,0.00,0.00,0.00,,
4,H02,Unassigned,22.12,-2.68,0.67,1.19,,
4,H03,ND_PBMC,22.12,68.92,23.15,41.17,7,
4,H04,ND_PBMC,22.12,46.35,23.63,42.02,7,
4,H05,ND_T,22.12,34.86,17.07,30.36,7,
4,H06,Unassigned,22.12,-1.49,0.99,1.77,,
4,H07,T2D_T,22.12,48.90,15.66,27.85,,
4,H08,Unassigned,22.12,-2.15,0.55,0.99,,
4,H09,ND_T40,22.12,44.99,64.16,114.11,2,
4,H10,ND_T40,22.12,44.60,75.83,134.85,2,
4,H11,Unassigned,22.12,-1.71,0.69,1.22,,
4,H12,Background,22.12,0.00,0.00,0.00,,
5,A01,Background,29.02,0.00,0.00,0.00,,
5,A02,Background,29.02,0.00,0.00,0.00,,
5,A03,ND_PBMC,29.02,59.80,27.47,48.85,7,
5,A04,ND_PBMC,29.02,68.99,19.94,35.46,7,
5,A05,T2D_PBMC,29.02,85.24,24.33,43.27,7,
5,A06,Unassigned,29.02,0.50,0.42,0.74,,
5,A07,SVC006,29.02,13.04,1.35,2.39,1.533972233,
5,A08,SVC006,29.02,10.66,2.14,3.80,1.533972233,
5,A09,L_T40,29.02,91.97,66.79,118.78,2,
5,A10,Unassigned,29.02,2.02,-0.28,-0.49,,
5,A11,Unassigned,29.02,-20.99,0.05,0.08,,
5,A12,Background,29.02,0.00,0.00,0.00,,
5,B01,L_PBMC,29.02,52.64,16.64,29.59,7,
5,B02,L_PBMC,29.02,50.58,16.61,29.54,7,
5,B03,ND_PBMC,29.02,67.44,30.36,54.00,7,
5,B04,ND_PBMC,29.02,85.82,22.86,40.66,7,
5,B05,T2D_PBMC,29.02,104.99,31.84,56.63,7,
5,B06,ND_T,29.02,48.31,7.74,13.77,0.566847826,
5,B07,ND_T,29.02,31.10,5.12,9.10,0.551630435,
5,B08,SVC006,29.02,14.39,1.57,2.79,,
5,B09,L_T40,29.02,110.65,77.24,137.36,2,
5,B10,ND_T40,29.02,51.73,49.00,87.15,15.5875,
5,B11,T2D_T40,29.02,26.22,41.08,73.05,2,
5,B12,Background,29.02,0.00,0.00,0.00,,
5,C01,L_PBMC,29.02,53.55,19.80,35.21,7,
5,C02,L_PBMC,29.02,45.19,16.64,29.59,7,
5,C03,ND_PBMC,29.02,64.15,30.80,54.77,7,
5,C04,ND_PBMC,29.02,76.93,26.99,48.00,7,
5,C05,T2D_PBMC,29.02,103.33,33.40,59.40,7,
5,C06,ND_T,29.02,40.63,10.79,19.19,5.668478269,
5,C07,ND_T,29.02,27.35,4.95,8.80,5.516343478,
5,C08,SVC006,29.02,10.55,3.20,5.69,1.533972233,
5,C09,L_T40,29.02,106.97,79.43,141.26,2,
5,C10,ND_T40,29.02,60.39,67.81,120.59,1.88125,
5,C11,ND_T40,29.02,35.58,35.20,62.59,1.33984375,
5,C12,Background,29.02,0.00,0.00,0.00,,
5,D01,L_T,29.02,29.51,6.81,12.12,7,
5,D02,L_T,29.02,35.16,9.70,17.24,7,
5,D03,ND_PBMC,29.02,66.02,35.32,62.82,7,
5,D04,ND_PBMC,29.02,83.41,27.04,48.09,7,
5,D05,T2D_PBMC,29.02,91.66,27.29,48.54,7,
5,D06,ND_T,29.02,38.41,9.88,17.57,5.668478269,
5,D07,ND_T,29.02,33.29,6.61,11.75,5.516343478,
5,D08,SVC006,29.02,8.91,3.12,5.55,1.533972233,
5,D09,L_T40,29.02,108.09,81.88,145.61,2,
5,D10,ND_T40,29.02,67.74,69.88,124.27,1.88125,
5,D11,ND_T40,29.02,34.92,49.64,88.28,1.33984375,
5,D12,Background,29.02,0.00,0.00,0.00,,
5,E01,L_T,29.02,32.85,8.12,14.45,7,
5,E02,L_T,29.02,29.53,9.50,16.89,7,
5,E03,ND_PBMC,29.02,76.94,26.21,46.61,7,
5,E04,ND_PBMC,29.02,60.74,29.43,52.33,7,
5,E05,ND_T,29.02,43.85,16.02,28.49,7,
5,E06,ND_T,29.02,83.24,23.51,41.82,6.125,
5,E07,T2D_T,29.02,45.23,15.21,27.05,7,
5,E08,SVC007,29.02,13.68,6.94,12.35,1.52173913,
5,E09,ND_T40,29.02,42.20,64.65,114.97,2,
5,E10,ND_T40,29.02,43.99,67.68,120.37,2,
5,E11,T2D_T40,29.02,33.74,51.02,90.73,2,
5,E12,Background,29.02,0.00,0.00,0.00,,
5,F01,Background,29.02,0.00,0.00,0.00,,
5,F02,SVC002,29.02,62.46,18.38,32.69,47.03125,
5,F03,ND_PBMC,29.02,76.29,31.00,55.14,7,
5,F04,ND_PBMC,29.02,56.18,28.37,50.46,7,
5,F05,ND_T,29.02,45.54,18.84,33.50,7,
5,F06,ND_T,29.02,82.52,21.18,37.66,6.125,
5,F07,T2D_T,29.02,46.21,16.03,28.52,7,
5,F08,SVC007,29.02,12.61,7.01,12.46,6.218695652,
5,F09,ND_T40,29.02,49.97,68.09,121.08,2,
5,F10,ND_T40,29.02,44.66,61.79,109.89,2,
5,F11,T2D_T40,29.02,-11.19,51.68,91.91,2,
5,F12,Background,29.02,0.00,0.00,0.00,,
